id,value,severity
src,,
src/components,,
src/components/org,,
src/components/org/apache,,
src/components/org/apache/jmeter,,
src/components/org/apache/jmeter/assertions,,
src/components/org/apache/jmeter/assertions/BeanShellAssertion.java,1,3
src/components/org/apache/jmeter/assertions/gui,,
src/components/org/apache/jmeter/assertions/gui/AssertionGui.java,1,3
src/components/org/apache/jmeter/assertions/gui/BeanShellAssertionGui.java,1,3
src/components/org/apache/jmeter/control,,
src/components/org/apache/jmeter/control/ForeachController.java,1,3
src/components/org/apache/jmeter/control/gui,,
src/components/org/apache/jmeter/control/gui/ForeachControlPanel.java,1,3
src/components/org/apache/jmeter/control/gui/IncludeControllerGui.java,1,3
src/components/org/apache/jmeter/control/gui/ModuleControllerGui.java,1,3
src/components/org/apache/jmeter/extractor,,
src/components/org/apache/jmeter/extractor/BoundaryExtractor.java,1,3
src/components/org/apache/jmeter/extractor/BSFPostProcessor.java,1,3
src/components/org/apache/jmeter/extractor/DebugPostProcessor.java,1,3
src/components/org/apache/jmeter/extractor/DebugPostProcessorBeanInfo.java,1,3
src/components/org/apache/jmeter/extractor/gui,,
src/components/org/apache/jmeter/extractor/gui/BoundaryExtractorGui.java,1,3
src/components/org/apache/jmeter/extractor/gui/HtmlExtractorGui.java,1,3
src/components/org/apache/jmeter/extractor/gui/RegexExtractorGui.java,1,3
src/components/org/apache/jmeter/extractor/gui/XPath2ExtractorGui.java,1,3
src/components/org/apache/jmeter/extractor/gui/XPathExtractorGui.java,1,3
src/components/org/apache/jmeter/extractor/HtmlExtractor.java,1,3
src/components/org/apache/jmeter/extractor/json,,
src/components/org/apache/jmeter/extractor/json/jsonpath,,
src/components/org/apache/jmeter/extractor/json/jsonpath/gui,,
src/components/org/apache/jmeter/extractor/json/jsonpath/gui/JSONPostProcessorGui.java,1,3
src/components/org/apache/jmeter/extractor/json/render,,
src/components/org/apache/jmeter/extractor/json/render/RenderAsJsonRenderer.java,1,3
src/components/org/apache/jmeter/extractor/JSR223PostProcessor.java,1,3
src/components/org/apache/jmeter/extractor/RegexExtractor.java,1,3
src/components/org/apache/jmeter/extractor/XPath2Extractor.java,1,3
src/components/org/apache/jmeter/extractor/XPathExtractor.java,1,3
src/components/org/apache/jmeter/modifiers,,
src/components/org/apache/jmeter/modifiers/BSFPreProcessor.java,1,3
src/components/org/apache/jmeter/modifiers/JSR223PreProcessor.java,1,3
src/components/org/apache/jmeter/sampler,,
src/components/org/apache/jmeter/sampler/DebugSampler.java,1,3
src/components/org/apache/jmeter/sampler/DebugSamplerBeanInfo.java,1,3
src/components/org/apache/jmeter/timers,,
src/components/org/apache/jmeter/timers/gui,,
src/components/org/apache/jmeter/timers/gui/GaussianRandomTimerGui.java,1,3
src/components/org/apache/jmeter/timers/gui/PoissonRandomTimerGui.java,1,3
src/components/org/apache/jmeter/timers/gui/UniformRandomTimerGui.java,1,3
src/components/org/apache/jmeter/visualizers,,
src/components/org/apache/jmeter/visualizers/AxisGraph.java,1,3
src/components/org/apache/jmeter/visualizers/backend,,
src/components/org/apache/jmeter/visualizers/backend/BackendListenerContext.java,1,3
src/components/org/apache/jmeter/visualizers/backend/graphite,,
src/components/org/apache/jmeter/visualizers/backend/graphite/GraphiteBackendListenerClient.java,1,3
src/components/org/apache/jmeter/visualizers/backend/graphite/PickleGraphiteMetricsSender.java,1,3
src/components/org/apache/jmeter/visualizers/backend/graphite/TextGraphiteMetricsSender.java,1,3
src/components/org/apache/jmeter/visualizers/backend/influxdb,,
src/components/org/apache/jmeter/visualizers/backend/influxdb/HttpMetricsSender.java,1,3
src/components/org/apache/jmeter/visualizers/backend/influxdb/InfluxdbBackendListenerClient.java,1,3
src/components/org/apache/jmeter/visualizers/backend/influxdb/UdpMetricsSender.java,1,3
src/components/org/apache/jmeter/visualizers/BeanShellListener.java,1,3
src/components/org/apache/jmeter/visualizers/BSFListener.java,1,3
src/components/org/apache/jmeter/visualizers/JSR223Listener.java,1,3
src/components/org/apache/jmeter/visualizers/LineGraph.java,1,3
src/components/org/apache/jmeter/visualizers/RenderAsCssJQuery.java,1,3
src/components/org/apache/jmeter/visualizers/RenderAsRegexp.java,1,3
src/components/org/apache/jmeter/visualizers/RenderAsXPath.java,1,3
src/components/org/apache/jmeter/visualizers/RenderAsXPath2.java,1,3
src/components/org/apache/jmeter/visualizers/RespTimeGraphChart.java,1,3
src/components/org/apache/jmeter/visualizers/RespTimeGraphVisualizer.java,1,3
src/components/org/apache/jmeter/visualizers/StatGraphVisualizer.java,1,3
src/components/org/apache/jmeter/visualizers/StatVisualizer.java,1,3
src/components/org/apache/jmeter/visualizers/SummaryReport.java,1,3
src/core,,
src/core/org,,
src/core/org/apache,,
src/core/org/apache/jmeter,,
src/core/org/apache/jmeter/config,,
src/core/org/apache/jmeter/config/Argument.java,1,3
src/core/org/apache/jmeter/config/gui,,
src/core/org/apache/jmeter/config/gui/RowDetailDialog.java,1,3
src/core/org/apache/jmeter/config/gui/SimpleConfigGui.java,1,3
src/core/org/apache/jmeter/control,,
src/core/org/apache/jmeter/control/gui,,
src/core/org/apache/jmeter/control/gui/LoopControlPanel.java,1,3
src/core/org/apache/jmeter/control/gui/RunTimeGui.java,1,3
src/core/org/apache/jmeter/control/gui/WorkBenchGui.java,1,3
src/core/org/apache/jmeter/control/LoopController.java,1,3
src/core/org/apache/jmeter/control/RunTime.java,1,3
src/core/org/apache/jmeter/control/WhileController.java,1,3
src/core/org/apache/jmeter/gui,,
src/core/org/apache/jmeter/gui/action,,
src/core/org/apache/jmeter/gui/action/SearchTreeDialog.java,1,3
src/core/org/apache/jmeter/gui/action/SelectTemplatesDialog.java,1,3
src/core/org/apache/jmeter/gui/NamePanel.java,1,3
src/core/org/apache/jmeter/gui/SavePropertyDialog.java,1,3
src/core/org/apache/jmeter/gui/ServerPanel.java,1,3
src/core/org/apache/jmeter/gui/util,,
src/core/org/apache/jmeter/gui/util/EscapeDialog.java,1,3
src/core/org/apache/jmeter/report,,
src/core/org/apache/jmeter/report/processor,,
src/core/org/apache/jmeter/report/processor/AbstractSampleConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/CsvFileSampleSource.java,1,3
src/core/org/apache/jmeter/report/processor/graph,,
src/core/org/apache/jmeter/report/processor/graph/impl,,
src/core/org/apache/jmeter/report/processor/graph/impl/ResponseCustomGraphGraphConsumer.java,1,3
src/core/org/apache/jmeter/report/processor/graph/impl/ResponseTimeOverTimeGraphConsumer.java,1,3
src/core/org/apache/jmeter/reporters,,
src/core/org/apache/jmeter/reporters/gui,,
src/core/org/apache/jmeter/reporters/gui/ResultSaverGui.java,1,3
src/core/org/apache/jmeter/rmi,,
src/core/org/apache/jmeter/rmi/SSLRMIClientSocketFactory.java,1,3
src/core/org/apache/jmeter/rmi/SSLRMIServerSocketFactory.java,1,3
src/core/org/apache/jmeter/testbeans,,
src/core/org/apache/jmeter/testbeans/gui,,
src/core/org/apache/jmeter/testbeans/gui/FieldStringEditor.java,1,3
src/core/org/apache/jmeter/testbeans/gui/PasswordEditor.java,1,3
src/core/org/apache/jmeter/testbeans/TestBeanBeanInfo.java,1,3
src/core/org/apache/jmeter/testelement,,
src/core/org/apache/jmeter/testelement/AbstractTestElementBeanInfo.java,1,3
src/core/org/apache/jmeter/testelement/property,,
src/core/org/apache/jmeter/testelement/property/DoubleProperty.java,1,3
src/core/org/apache/jmeter/testelement/property/FloatProperty.java,1,3
src/core/org/apache/jmeter/testelement/property/LongProperty.java,1,3
src/core/org/apache/jmeter/threads,,
src/core/org/apache/jmeter/threads/JMeterThread.java,1,3
src/core/org/apache/jmeter/util,,
src/core/org/apache/jmeter/util/BeanShellBeanInfoSupport.java,1,3
src/core/org/apache/jmeter/util/ScriptingBeanInfoSupport.java,1,3
src/core/org/apache/jmeter/util/StringUtilities.java,1,3
src/core/org/apache/jmeter/visualizers,,
src/core/org/apache/jmeter/visualizers/Sample.java,1,3
src/functions,,
src/functions/org,,
src/functions/org/apache,,
src/functions/org/apache/jmeter,,
src/functions/org/apache/jmeter/functions,,
src/functions/org/apache/jmeter/functions/CharFunction.java,1,3
src/functions/org/apache/jmeter/functions/DigestEncodeFunction.java,1,3
src/functions/org/apache/jmeter/functions/EscapeHtml.java,1,3
src/functions/org/apache/jmeter/functions/EscapeOroRegexpChars.java,1,3
src/functions/org/apache/jmeter/functions/EscapeXml.java,1,3
src/functions/org/apache/jmeter/functions/EvalFunction.java,1,3
src/functions/org/apache/jmeter/functions/EvalVarFunction.java,1,3
src/functions/org/apache/jmeter/functions/FileToString.java,1,3
src/functions/org/apache/jmeter/functions/IntSum.java,1,3
src/functions/org/apache/jmeter/functions/IsPropDefined.java,1,3
src/functions/org/apache/jmeter/functions/IsVarDefined.java,1,3
src/functions/org/apache/jmeter/functions/JavaScript.java,1,3
src/functions/org/apache/jmeter/functions/Jexl2Function.java,1,3
src/functions/org/apache/jmeter/functions/Jexl3Function.java,1,3
src/functions/org/apache/jmeter/functions/LogFunction.java,1,3
src/functions/org/apache/jmeter/functions/LogFunction2.java,1,3
src/functions/org/apache/jmeter/functions/LongSum.java,1,3
src/functions/org/apache/jmeter/functions/Property.java,1,3
src/functions/org/apache/jmeter/functions/Property2.java,1,3
src/functions/org/apache/jmeter/functions/RandomDate.java,1,3
src/functions/org/apache/jmeter/functions/RandomString.java,1,3
src/functions/org/apache/jmeter/functions/SamplerName.java,1,3
src/functions/org/apache/jmeter/functions/SetProperty.java,1,3
src/functions/org/apache/jmeter/functions/SplitFunction.java,1,3
src/functions/org/apache/jmeter/functions/TimeShift.java,1,3
src/functions/org/apache/jmeter/functions/UnEscape.java,1,3
src/functions/org/apache/jmeter/functions/UnEscapeHtml.java,1,3
src/functions/org/apache/jmeter/functions/UrlDecode.java,1,3
src/functions/org/apache/jmeter/functions/UrlEncode.java,1,3
src/functions/org/apache/jmeter/functions/Variable.java,1,3
src/jorphan,,
src/jorphan/org,,
src/jorphan/org/apache,,
src/jorphan/org/apache/jorphan,,
src/jorphan/org/apache/jorphan/util,,
src/jorphan/org/apache/jorphan/util/JOrphanUtils.java,1,3
src/junit,,
src/junit/org,,
src/junit/org/apache,,
src/junit/org/apache/jmeter,,
src/junit/org/apache/jmeter/protocol,,
src/junit/org/apache/jmeter/protocol/java,,
src/junit/org/apache/jmeter/protocol/java/sampler,,
src/junit/org/apache/jmeter/protocol/java/sampler/JUnitSampler.java,1,3
src/protocol,,
src/protocol/http,,
src/protocol/http/org,,
src/protocol/http/org/apache,,
src/protocol/http/org/apache/jmeter,,
src/protocol/http/org/apache/jmeter/protocol,,
src/protocol/http/org/apache/jmeter/protocol/http,,
src/protocol/http/org/apache/jmeter/protocol/http/config,,
src/protocol/http/org/apache/jmeter/protocol/http/config/gui,,
src/protocol/http/org/apache/jmeter/protocol/http/config/gui/HttpDefaultsGui.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/control,,
src/protocol/http/org/apache/jmeter/protocol/http/control/AuthManager.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/control/CookieManager.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/control/DelegatingKerberosScheme.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/control/DelegatingSPNegoScheme.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/control/gui,,
src/protocol/http/org/apache/jmeter/protocol/http/control/gui/HttpMirrorControlGui.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/control/gui/HttpTestSampleGui.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/gui,,
src/protocol/http/org/apache/jmeter/protocol/http/gui/AuthPanel.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/gui/CookiePanel.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/gui/HeaderPanel.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/modifier,,
src/protocol/http/org/apache/jmeter/protocol/http/modifier/AnchorModifier.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/modifier/gui,,
src/protocol/http/org/apache/jmeter/protocol/http/modifier/gui/RegExUserParametersGui.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/proxy,,
src/protocol/http/org/apache/jmeter/protocol/http/proxy/gui,,
src/protocol/http/org/apache/jmeter/protocol/http/proxy/gui/ProxyControlGui.java,1,3
src/protocol/http/org/apache/jmeter/protocol/http/proxy/gui/RecorderDialog.java,1,3
src/protocol/java,,
src/protocol/java/org,,
src/protocol/java/org/apache,,
src/protocol/java/org/apache/jmeter,,
src/protocol/java/org/apache/jmeter/protocol,,
src/protocol/java/org/apache/jmeter/protocol/java,,
src/protocol/java/org/apache/jmeter/protocol/java/control,,
src/protocol/java/org/apache/jmeter/protocol/java/control/gui,,
src/protocol/java/org/apache/jmeter/protocol/java/control/gui/BeanShellSamplerGui.java,1,3
